frame_nmr;license_number;license_number_score;time_of_operation
60;Tablica 1;0,868630975;0,463000774
61;Tablica 1;0,884791121;0,429000378
62;Tablica 1;0,834751561;0,4519701
63;Tablica 1;0,87493699;0,461998463
64;Tablica 1;0,894805253;0,440999985
65;Tablica 1;0,905302316;0,453997612
66;Tablica 1;0,879518807;0,452997208
67;Tablica 1;0,890040077;0,527000189
68;Tablica 1;0,882192962;0,432001114
69;Tablica 1;0,890977614;0,44199729
70;Tablica 1;0,901184678;0,454999924
71;Tablica 1;0,895763569;0,460999489
72;Tablica 1;0,894149266;0,45200038
73;Tablica 1;0,841421358;0,463000059
;;;
;;0,881319039;0,456140212
